feature,importance,observed_train_fraction
x_-4_left_height_norm,0.0037323967553675175,0.7825358531028013
x_+5_superior_width_norm,0.003710974007844925,0.6863691194209891
x_+12_center_dx_norm,0.0036582336761057377,0.12310682214180405
x_+9_superior_width_norm,0.003656590124592185,0.33373542420587055
x_+7_superior_width_norm,0.0036455243825912476,0.5020774695081088
x_+13_superior_width_norm,0.003593613626435399,0.07009784211231739
x_-10_right_height_norm,0.0034839597065001726,0.2570700978421123
x_-8_right_height_norm,0.0033893941435962915,0.41582897734888086
x_+12_left_height_norm,0.003341058036312461,0.12310682214180405
x_+9_center_dx_norm,0.0033112496603280306,0.33373542420587055
x_+10_inferior_width_norm,0.0032874909229576588,0.2570700978421123
x_-12_superior_width_norm,0.0032697960268706083,0.12310682214180405
x_+11_orientation_relative_deg,0.003132411977276206,0.186436134566412
x_-9_inferior_width_norm,0.0031270822510123253,0.33373542420587055
x_-11_right_height_norm,0.0029578092508018017,0.186436134566412
x_-12_orientation_relative_deg,0.002881700173020363,0.12310682214180405
x_+13_left_height_norm,0.0028714267536997795,0.07009784211231739
x_-14_inferior_width_norm,0.002798860426992178,0.028012330786757807
x_-9_center_dx_norm,0.0026771528646349907,0.33373542420587055
x_+13_right_height_norm,0.0025934886652976274,0.07009784211231739
x_+14_center_dy_norm,0.002504724310711026,0.028012330786757807
x_+10_orientation_relative_deg,0.002336320234462619,0.2570700978421123
x_+13_center_dx_norm,0.0022968167904764414,0.07009784211231739
x_-14_superior_width_norm,0.0022822380997240543,0.028012330786757807
x_+13_inferior_width_norm,0.0022542718797922134,0.07009784211231739
x_-13_center_dx_norm,0.0022262188140302896,0.07009784211231739
x_+12_orientation_relative_deg,2.8591934096766636e-05,0.12310682214180405
x_+22_superior_width_norm,0.0,0.0
x_+23_right_height_norm,0.0,0.0
x_+23_left_height_norm,0.0,0.0
x_+22_center_dy_norm,0.0,0.0
x_+22_center_dx_norm,0.0,0.0
x_+22_orientation_relative_deg,0.0,0.0
x_+22_inferior_width_norm,0.0,0.0
x_-23_right_height_norm,0.0,0.0
x_-23_left_height_norm,0.0,0.0
x_-14_right_height_norm,0.0,0.028012330786757807
